Timestamp,Do you use a mobile app for any banking service ?,What is your gender?,Which age group do you belong to?,Marital status ?,What district do you currently live in?,What is your best current job description ?,What is your highest educational qualifications ?,How much time do you spend using the Internet (approximately) ?,What is the bank where you get banking services through a mobile app?,Which type of account do you use at the bank you mentioned above?,Do you spend extra money on banking mobile application service?,What are the main necessities you fulfill with your bank ?,What is your most used service in mobile banking?,How far (km) is your nearest bank branch ?,Do you agree with the following benefits of mobile banking? [Cost savings],Do you agree with the following benefits of mobile banking? [Save time],Do you agree with the following benefits of mobile banking? [24 hour access]
2020/11/03 5:33:23 PM GMT+5:30,Yes,Female,25 - 45,Unmarried,Hambantota,Public Sector,Diploma,2 - 4 hours,People's Bank,Current account,Yes,Money transfer,Account information,5,Agree,Agree,Agree
2020/11/03 6:29:03 PM GMT+5:30,Yes,Male,25 - 45,Unmarried,Hambantota,Private Sector,Bachelor's degree or higher,2 - 4 hours,BOC,Savings account,No,Bill payments;Account information;Money transfer, Bill payments,1,Agree,Agree,Agree
2020/11/03 6:36:13 PM GMT+5:30,Yes,Male,25 - 45,Unmarried,Galle,Private Sector,Bachelor's degree or higher,More than 6 hours,NTB,Savings account,Yes,Transaction Summary;Account information;Money transfer,Money transfer,2,Agree,Agree,Agree
2020/11/03 6:42:27 PM GMT+5:30,Yes,Male,25 - 45,Unmarried,Hambantota,Private Sector,Bachelor's degree or higher,More than 6 hours,Commercial Bank,Savings account,Yes,Bill payments;Transaction Summary;Account information;Money transfer,Money transfer,6,Agree,Agree,Agree
2020/11/03 6:46:49 PM GMT+5:30,Yes,Male,25 - 45,Unmarried,Hambantota,Private Sector,Bachelor's degree or higher,More than 6 hours,Commercial Bank,Current account,Yes,Bill payments;Account information;Money transfer,Account information,12,Agree,Agree,Agree
2020/11/03 6:51:26 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Hambantota,Student,A/L,1 - 2 hours,BOC,Savings account,No,Bill payments;Transaction Summary;Account information;Money transfer, Bill payments,0.5,Agree,Agree,Agree
2020/11/03 6:54:29 PM GMT+5:30,No,,,,,,,,,,,,,,,,
2020/11/03 6:55:32 PM GMT+5:30,No,,,,,,,,,,,,,,,,
2020/11/03 6:57:19 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Hambantota,Student,A/L,1 - 2 hours,BOC,Savings account,No,Account information,Account information,15,Agree,Agree,Agree
2020/11/03 6:59:14 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Hambantota,Student,A/L,4 - 6 hours,People's Bank,Savings account,No,Transaction Summary;Account information,Account information,2,Agree,Agree,Agree
2020/11/03 7:01:27 PM GMT+5:30,Yes,Male,16 - 25,Unmarried,Hambantota,Student,A/L,More than 6 hours,People's Bank,Savings account,No,Bill payments;Transaction Summary;Account information;Money transfer, Bill payments,2,Agree,Agree,Agree
2020/11/03 7:01:34 PM GMT+5:30,No,,,,,,,,,,,,,,,,
2020/11/03 7:02:27 PM GMT+5:30,Yes,Male,25 - 45,Unmarried,Colombo,Private Sector,Bachelor's degree or higher,4 - 6 hours,BOC,Savings account,No,Account information,Account information,1.5,Agree,Agree,Agree
2020/11/03 7:03:02 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Galle,Public Sector,Diploma,1 - 2 hours,BOC,Savings account,No,Bill payments, Bill payments,1,Agree,Agree,Agree
2020/11/03 7:09:58 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Galle,Student,Bachelor's degree or higher,4 - 6 hours,NTB,Savings account,No,Bill payments;Transaction Summary;Account information;Money transfer, Bill payments,12,Disagree,Agree,Agree
2020/11/03 7:10:27 PM GMT+5:30,Yes,Female,16 - 25,Unmarried,Galle,Public Sector,Diploma,2 - 4 hours,BOC,Savings account,No,Bill payments, Bill payments,1,Agree,Agree,Agree
2020/11/03 7:10:56 PM GMT+5:30,Yes,Female,25 - 45,Unmarried,Hambantota,Student,Bachelor's degree or higher,More than 6 hours,BOC,Both,No,Transaction Summary;Account information,Transaction Summary,10,Agree,Agree,Agree
2020/11/03 7:15:01 PM GMT+5:30,No,,,,,,,,,,,,,,,,
